coords,ground x,ground y,likelihood,endpoint x,endpoint y,likelihood,hMax x,hMax y,likelihood,vMax x,vMax y,likelihood
131,1015.430958,573.1530323,0.583111465,767.3924246,1063.895737,0.71111536,221.6685591,552.0939064,0.871066809,918.5451682,1524.959402,0.890167117
132,1015.775318,572.7998238,0.610981643,769.0000198,1063.631693,0.70122242,221.8550663,551.9030309,0.874250054,918.863966,1524.602162,0.895185471
133,213.9691577,542.651633,0.39180243,771.0440459,1065.321974,0.710659444,215.7006858,567.768391,0.248315752,214.3233718,541.07022,0.290782332
134,1015.804929,572.8289633,0.611090899,769.3579099,1063.515737,0.702887416,221.8196454,552.0627904,0.86955452,918.6272519,1524.566877,0.896156669
135,1015.682646,572.8021545,0.610810637,769.073633,1063.729179,0.699243844,221.8877621,552.0484676,0.872068048,918.7205181,1524.521264,0.895494819
136,215.2758974,544.9729673,0.366369277,771.1986179,1063.689462,0.714698374,215.2804379,548.3063574,0.238856465,213.6246674,541.5421262,0.244595408
137,1015.708241,572.8344994,0.606915295,769.2403026,1063.742432,0.7088449,221.7621799,552.0155015,0.874224663,918.773237,1524.318996,0.894469142
138,1015.629248,572.9780388,0.609469116,768.9168324,1063.751785,0.699916601,221.8848758,552.1041451,0.876117229,918.7103713,1524.197986,0.893104196
139,215.3293597,545.0677223,0.370041162,771.4805012,1063.734866,0.72189033,215.1198549,548.068922,0.240236431,213.7035912,541.531558,0.246554404
140,1015.540641,572.9288139,0.608519197,769.5334902,1063.759226,0.720628619,221.7843342,552.0827689,0.870177269,918.6447592,1524.273262,0.894781232
141,1015.529668,572.9097509,0.608652771,769.3355575,1063.749345,0.71947515,221.8599944,552.1082106,0.870699883,918.6051931,1524.312033,0.895054817
142,215.3630416,545.0934788,0.365620166,771.6761703,1063.918144,0.724981129,215.212235,548.0168011,0.236657232,213.6061243,541.5122614,0.244989544
143,1015.559866,572.9012346,0.60886097,769.6749489,1063.877489,0.725166321,221.747757,552.0808611,0.870156825,918.5205038,1524.488193,0.895895004
144,1015.59251,572.9086943,0.608581543,770.0069405,1064.0839,0.72304672,221.6834054,552.0020585,0.870291412,918.5121825,1524.492428,0.894929886
145,215.3619532,545.0550405,0.365774572,772.1169915,1064.04906,0.73173058,215.2542902,548.2259319,0.237464219,213.5315952,541.6304331,0.248163611
146,1015.352797,573.3318357,0.600107491,771.0417373,1064.129842,0.742629945,221.6070652,552.0090175,0.871310115,918.8089879,1524.72331,0.892914891
147,1014.808235,572.9396782,0.624631286,778.118032,1062.366599,0.806957126,221.5981336,552.1404495,0.87100327,918.6342406,1524.571971,0.893578291
148,215.3598006,545.1934379,0.355587959,825.1112616,1067.39081,0.731097758,215.224052,548.1286013,0.239202976,213.4185947,541.781621,0.247584969
149,1014.596911,571.1841321,0.683193326,896.9289663,1078.346362,0.571865082,221.6031384,552.2541809,0.869338632,918.4579008,1524.562614,0.889725268
150,1014.810198,570.60677,0.686124146,937.3873811,1084.173471,0.640630722,221.5415916,552.2653379,0.87122345,918.4885364,1524.442775,0.888643861
151,215.404474,545.1460428,0.358293593,929.7698288,1082.167438,0.563902617,215.1641692,548.029166,0.243918985,213.4463745,541.8214717,0.25244689
152,1014.27346,570.9908895,0.688287377,910.6018562,1076.776863,0.671837568,221.4287848,552.166563,0.875616968,918.7551064,1524.488326,0.884997785
153,1014.296513,571.0560331,0.686153233,907.9979753,1076.816978,0.681262195,221.5210123,552.1276226,0.877888918,918.5848844,1524.637565,0.885498822
154,215.3839492,545.1015824,0.360161513,920.9688216,1078.625075,0.68343699,215.0275313,548.011287,0.245491385,213.5258391,541.7759566,0.254312396
155,1014.325154,570.9916425,0.685338497,920.8697314,1078.336324,0.736124158,221.486105,552.056951,0.880633235,918.62378,1524.444651,0.887688398
156,1014.338617,570.8752055,0.691266,914.4763714,1076.806206,0.730406642,221.5540528,552.1317511,0.88076961,918.5991521,1524.381744,0.888250947
157,215.4419278,545.1138429,0.361208111,915.8376229,1076.717108,0.703820944,215.0786661,548.0482042,0.247745514,213.561339,541.7210793,0.251253247
158,1014.080552,570.8280716,0.693349361,918.4263785,1077.661879,0.704602242,221.5587354,551.9962902,0.880761147,918.6813824,1524.301663,0.886054516
159,1014.071711,570.8045502,0.69557178,917.6753345,1077.773982,0.68991673,221.5582743,552.039196,0.877938151,918.7176275,1524.038613,0.886909008
160,215.318707,545.0575082,0.374666095,918.4682761,1077.135635,0.715006709,215.1929441,548.1843987,0.244622201,213.8400654,541.8002043,0.244596273
161,1013.89116,570.401896,0.683300614,915.7021478,1077.792154,0.693000615,221.8821263,552.1066618,0.876386523,918.6052113,1524.266375,0.885199428
162,1013.871246,570.4573708,0.681951642,917.1649333,1077.960347,0.711454988,221.8635869,552.1618385,0.876091957,918.5923729,1524.211895,0.884626627
163,214.8075728,544.8774812,0.352359772,918.2686644,1076.856515,0.712023914,214.636874,548.2133863,0.227765411,213.2085279,540.9556394,0.240470469
164,1013.925597,570.5904918,0.680890799,915.4087591,1077.813509,0.68118906,221.820374,552.1461468,0.873994887,918.607779,1524.081923,0.886853755
165,1014.01765,570.5994334,0.677356958,915.3019714,1077.631283,0.683235705,221.795043,552.2078333,0.877567768,918.6018345,1524.302184,0.882257104
166,215.4497967,545.18457,0.370756119,919.1373248,1077.114582,0.689248204,215.2075115,548.2678576,0.244048178,213.7247659,541.7085462,0.249181896
167,1014.138868,570.4536209,0.676480353,915.8915284,1077.744033,0.683234215,221.7178969,552.1353178,0.876753926,918.6353452,1524.309129,0.881876707
168,1014.051241,570.6401434,0.673691869,915.8550615,1077.536621,0.691109538,221.721396,552.0699763,0.870791137,918.4910605,1524.339444,0.885875463
169,215.4045249,545.135965,0.3760553,918.6705658,1076.865095,0.6725896,215.202967,548.3464177,0.245616704,213.7845751,541.7322497,0.243850887
170,1014.087442,570.6928735,0.676290751,915.8362089,1077.635013,0.679032266,221.7324157,552.0793114,0.874532342,918.4250774,1524.329389,0.887902081
171,1014.130136,570.7389035,0.671143889,916.5126749,1077.758759,0.678908765,221.7988653,552.2085266,0.872672617,918.2610788,1524.395536,0.886455119
